entry_type,addr,bank,status,canonical_addr,canonical_bank
extra_func,C8C2,7,AUTO_DISCOVERED,,
extra_func,CA77,7,AUTO_DISCOVERED,,
extra_func,CC77,7,AUTO_DISCOVERED,,
extra_func,D0C2,7,AUTO_DISCOVERED,,
extra_func,E220,7,AUTO_DISCOVERED,,
extra_func,E6B8,7,AUTO_DISCOVERED,,
extra_func,E94B,7,AUTO_DISCOVERED,,
extra_func,E96F,7,AUTO_DISCOVERED,,
extra_func,E977,7,AUTO_DISCOVERED,,
extra_func,E9A1,7,AUTO_DISCOVERED,,
extra_func,E9C3,7,AUTO_DISCOVERED,,
extra_func,E9CB,7,AUTO_DISCOVERED,,
extra_func,E9D8,7,AUTO_DISCOVERED,,
extra_func,E9F7,7,AUTO_DISCOVERED,,
extra_func,EA11,7,AUTO_DISCOVERED,,
extra_func,EA20,7,AUTO_DISCOVERED,,
extra_func,EA6B,7,AUTO_DISCOVERED,,
extra_func,EB62,7,AUTO_DISCOVERED,,
extra_func,EB76,7,AUTO_DISCOVERED,,
extra_func,EB7E,7,AUTO_DISCOVERED,,
extra_func,EB86,7,AUTO_DISCOVERED,,
extra_func,EB8E,7,AUTO_DISCOVERED,,
extra_func,EB96,7,AUTO_DISCOVERED,,
extra_func,EBA4,7,AUTO_DISCOVERED,,
extra_func,EBAA,7,AUTO_DISCOVERED,,
extra_func,EBC0,7,AUTO_DISCOVERED,,
extra_func,EC1B,7,AUTO_DISCOVERED,,
extra_func,EEDE,7,AUTO_DISCOVERED,,
extra_func,EEFE,7,AUTO_DISCOVERED,,
extra_func,EF71,7,AUTO_DISCOVERED,,
extra_func,F0B1,7,AUTO_DISCOVERED,,
extra_func,F1AF,7,AUTO_DISCOVERED,,
extra_func,F1C3,7,AUTO_DISCOVERED,,
extra_func,F1D0,7,AUTO_DISCOVERED,,
extra_func,F1DA,7,AUTO_DISCOVERED,,
extra_func,F519,7,AUTO_DISCOVERED,,
extra_func,F5A5,7,AUTO_DISCOVERED,,
extra_func,F720,7,AUTO_DISCOVERED,,
extra_func,F8A5,7,AUTO_DISCOVERED,,
extra_func,FC94,7,AUTO_DISCOVERED_AS_SECONDARY,FB74,7
extra_func,FD00,7,AUTO_DISCOVERED,,
extra_func,FE40,7,AUTO_DISCOVERED,,
extra_func,FE48,7,AUTO_DISCOVERED,,
extra_func,FE50,7,AUTO_DISCOVERED,,
extra_func,FE58,7,AUTO_DISCOVERED,,
extra_func,FE60,7,AUTO_DISCOVERED,,
extra_func,FE68,7,AUTO_DISCOVERED,,
extra_func,FE70,7,AUTO_DISCOVERED,,
extra_func,FE78,7,AUTO_DISCOVERED,,
extra_func,FE80,7,AUTO_DISCOVERED,,
extra_func,FE88,7,AUTO_DISCOVERED,,
extra_func,FE90,7,AUTO_DISCOVERED,,
extra_func,FEA6,7,AUTO_DISCOVERED,,
extra_func,FED1,7,AUTO_DISCOVERED,,
extra_func,FED6,7,AUTO_DISCOVERED,,
extra_func,FEDA,7,AUTO_DISCOVERED,,
extra_func,FEF4,7,AUTO_DISCOVERED,,
extra_func,FFA0,7,AUTO_DISCOVERED,,
extra_func,8300,0,AUTO_DISCOVERED,,
extra_func,BFAC,0,AUTO_DISCOVERED,,
extra_func,BF98,0,AUTO_DISCOVERED,,
extra_func,A69D,1,LIKELY_BAD_SEED_OFF_BY_ONE_MINUS1,,
extra_func,B3F9,1,DISCOVERABLE_AS_SECONDARY,A987,1
extra_func,BFAC,1,AUTO_DISCOVERED,,
extra_func,BF98,1,AUTO_DISCOVERED,,
extra_func,BFAC,2,AUTO_DISCOVERED,,
extra_func,BF98,2,AUTO_DISCOVERED,,
extra_func,BFAC,3,AUTO_DISCOVERED,,
extra_func,BF98,3,AUTO_DISCOVERED,,
extra_func,BFAC,4,AUTO_DISCOVERED,,
extra_func,BF98,4,AUTO_DISCOVERED,,
extra_func,804F,4,AUTO_DISCOVERED,,
extra_func,81F7,4,MISSING,,
extra_func,8204,4,MISSING,,
extra_func,8263,4,MISSING,,
extra_func,8289,4,MISSING,,
extra_func,82D7,4,AUTO_DISCOVERED,,
extra_func,8399,4,AUTO_DISCOVERED,,
extra_func,843E,4,AUTO_DISCOVERED,,
extra_func,8481,4,AUTO_DISCOVERED,,
extra_func,84B3,4,AUTO_DISCOVERED,,
extra_func,84CB,4,AUTO_DISCOVERED,,
extra_func,84EC,4,AUTO_DISCOVERED,,
extra_func,84F9,4,AUTO_DISCOVERED,,
extra_func,8568,4,AUTO_DISCOVERED,,
extra_func,8798,4,AUTO_DISCOVERED,,
extra_func,87BF,4,AUTO_DISCOVERED,,
extra_func,87CC,4,AUTO_DISCOVERED,,
extra_func,883F,4,AUTO_DISCOVERED,,
extra_func,8886,4,AUTO_DISCOVERED,,
extra_func,88F8,4,AUTO_DISCOVERED,,
extra_func,8A65,4,AUTO_DISCOVERED,,
extra_func,8B09,4,AUTO_DISCOVERED,,
extra_func,8BFF,4,AUTO_DISCOVERED,,
extra_func,8C6B,4,AUTO_DISCOVERED,,
extra_func,8D50,4,AUTO_DISCOVERED,,
extra_func,8D90,4,AUTO_DISCOVERED,,
extra_func,8E44,4,AUTO_DISCOVERED,,
extra_func,8EEB,4,AUTO_DISCOVERED,,
extra_func,8F0E,4,AUTO_DISCOVERED,,
extra_func,8F76,4,AUTO_DISCOVERED,,
extra_func,8FEF,4,AUTO_DISCOVERED,,
extra_func,9028,4,AUTO_DISCOVERED,,
extra_func,90E4,4,AUTO_DISCOVERED,,
extra_func,92D6,4,AUTO_DISCOVERED,,
extra_func,9377,4,AUTO_DISCOVERED,,
extra_func,9498,4,AUTO_DISCOVERED,,
extra_func,95F0,4,AUTO_DISCOVERED,,
extra_func,98A9,4,AUTO_DISCOVERED,,
extra_func,9B36,4,AUTO_DISCOVERED,,
extra_func,9B4B,4,AUTO_DISCOVERED,,
extra_func,9BA2,4,AUTO_DISCOVERED,,
extra_func,9CC9,4,AUTO_DISCOVERED,,
extra_func,9D57,4,AUTO_DISCOVERED,,
extra_func,9FA9,4,AUTO_DISCOVERED,,
extra_func,A187,4,AUTO_DISCOVERED,,
extra_func,A316,4,AUTO_DISCOVERED,,
extra_func,A477,4,AUTO_DISCOVERED,,
extra_func,A4DE,4,AUTO_DISCOVERED,,
extra_func,A987,4,AUTO_DISCOVERED,,
extra_func,A9D8,4,AUTO_DISCOVERED,,
extra_func,A9EB,4,AUTO_DISCOVERED,,
extra_func,AB66,4,AUTO_DISCOVERED,,
extra_func,ABBC,4,AUTO_DISCOVERED,,
extra_func,ABDA,4,AUTO_DISCOVERED,,
extra_func,AC7D,4,AUTO_DISCOVERED,,
extra_func,AC89,4,AUTO_DISCOVERED,,
extra_func,ACC6,4,AUTO_DISCOVERED,,
extra_func,ACE4,4,AUTO_DISCOVERED,,
extra_func,BFAC,5,AUTO_DISCOVERED,,
extra_func,BF98,5,AUTO_DISCOVERED,,
extra_func,8021,5,AUTO_DISCOVERED,,
extra_func,806C,5,AUTO_DISCOVERED,,
extra_func,8070,5,AUTO_DISCOVERED,,
extra_func,819A,5,AUTO_DISCOVERED,,
extra_func,BFAC,6,AUTO_DISCOVERED,,
extra_func,BF98,6,AUTO_DISCOVERED,,
extra_label,A500,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A570,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A5C0,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A5C5,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A5D4,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A5E5,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A5EC,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A5F0,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A5F9,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A627,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A661,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A680,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A68D,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A6A6,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A6A9,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A6B0,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A6B6,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A6C5,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A6DE,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A6E9,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A759,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A76B,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A799,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A7E3,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A826,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A828,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A831,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A858,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A883,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A88F,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A891,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A897,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A8BA,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A8DF,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A91B,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A933,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A94D,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A986,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A98B,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A98F,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A9AC,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A9BF,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A9FA,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,A9FC,1,AUTO_DISCOVERED_AS_SECONDARY,9B4B,1
extra_label,AA2B,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AA4E,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAB0,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAB8,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAE4,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAE6,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAF0,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAF2,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAFC,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AAFE,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AB08,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AB7C,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AB84,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AB98,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,ABAF,1,AUTO_DISCOVERED_AS_SECONDARY,9B4B,1
extra_label,ABE0,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,ACDC,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AD13,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AD1C,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AD27,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AD82,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,AD9F,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,ADE0,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,B044,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,B04B,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,B04F,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,B056,1,AUTO_DISCOVERED_AS_STANDALONE,,
extra_label,B057,1,AUTO_DISCOVERED_AS_STANDALONE,,
